depth,tempdepth,temp,EdZTilt,EdZRoll,EdZPitch,Ed0Tilt,Ed0Roll,Ed0Pitch
0.2211076,0.5741076,21.19133,3.978593,3.917104,-0.6989553,2.517954,0.06989381,-2.516986
0.2238323,0.5768323,21.18433,3.958482,3.777001,-1.18828,2.451007,0.1397877,-2.447027
0.2264231,0.5794231,21.19615,3.91079,3.566888,-1.607768,2.413697,0.4193665,-2.377071
0.2276239,0.5806239,21.19889,3.815316,3.356823,-1.817544,2.32396,0.2795763,-2.307119
0.2300115,0.5830115,21.20149,3.564112,3.216805,-1.537848,2.238259,0.06989381,-2.23717
0.2319188,0.5849188,21.18422,3.207682,3.076806,-0.9086576,2.289939,0.4892626,-2.23717
0.232099,0.585099,21.18514,3.014089,3.006814,-0.2096819,2.365347,0.7688549,-2.23717
0.2328056,0.5858056,21.20774,2.9894,2.936826,0.5591593,2.221662,0.4892626,-2.167225
0.2339647,0.5869647,21.193,3.076584,2.866842,1.118372,2.189429,0.6290568,-2.097282
0.2352532,0.5882532,21.19117,3.252058,2.866842,1.537848,2.220138,1.048466,-1.957407
0.2366387,0.5896387,21.1978,3.224773,2.796863,1.607768,2.158761,1.048466,-1.887474
0.2386568,0.5916568,21.20319,2.986341,2.796863,1.048466,1.969466,0.9086576,-1.747616
0.2416285,0.5946285,21.18977,2.657833,2.656917,0.06989381,2.152961,1.25819,-1.747616
0.243155,0.596155,21.18789,2.817742,2.58695,-1.118372,2.228678,1.46793,-1.677691
0.2445959,0.5975959,21.19484,3.459938,2.516986,-2.377071,2.139272,1.328101,-1.677691
0.246748,0.599748,21.19572,4.496563,2.447027,-3.777001,2.096635,1.25819,-1.677691
0.2470713,0.6000713,21.20576,5.5029,2.377071,-4.968687,2.425885,1.607768,-1.817544
0.2476393,0.6006393,21.19732,6.105471,2.447027,-5.60042,2.425885,1.607768,-1.817544
0.247667,0.600667,21.19999,6.353776,2.58695,-5.811145,2.267887,1.25819,-1.887474
0.2476947,0.6006947,21.20321,6.284558,2.726888,-5.670653,2.348229,1.398015,-1.887474
0.2478517,0.6008517,21.19861,5.885238,2.936826,-5.109016,2.524507,1.677691,-1.887474
0.2471175,0.6001175,21.20429,5.392913,3.216805,-4.337558,2.326375,1.25819,-1.957407
0.2456812,0.5986812,21.20444,4.892129,3.566888,-3.356823,2.289379,1.18828,-1.957407
0.2454503,0.5984503,21.19888,4.63163,3.84705,-2.58695,2.404756,1.398015,-1.957407
0.2449805,0.5979805,21.21519,4.501891,4.057231,-1.957407,2.326375,1.25819,-1.957407
0.2444791,0.5974791,21.21,4.468347,4.197382,-1.537848,2.250801,0.9785607,-2.027343
0.2445319,0.5975319,21.20393,4.489021,4.267467,-1.398015,2.313972,0.9785607,-2.097282
0.2448117,0.5978117,21.21148,4.51112,4.267467,-1.46793,2.470218,1.048466,-2.23717
0.2453302,0.5983302,21.21581,4.453074,4.127304,-1.677691,2.414314,0.9086576,-2.23717
