depth,tempdepth,temp,EdZTilt,EdZRoll,EdZPitch,Ed0Tilt,Ed0Roll,Ed0Pitch
0.98902,1.34202,21.50622,3.129944,2.866842,-1.25819,-2.820424,-2.097282,1.887474
0.993232,1.346232,21.52243,2.97383,2.726888,-1.18828,-2.721778,-2.027343,1.817544
0.996303,1.349303,21.52695,2.938999,2.656917,-1.25819,-2.827372,-2.167225,1.817544
1.000136,1.353136,21.50987,2.909841,2.656917,-1.18828,-2.881265,-2.23717,1.817544
1.004223,1.357223,21.51847,2.882079,2.656917,-1.118372,-2.991047,-2.377071,1.817544
1.00849,1.36149,21.51043,2.882079,2.656917,-1.118372,-2.949174,-2.377071,1.747616
1.012111,1.365111,21.52025,2.909841,2.656917,-1.18828,-2.949174,-2.377071,1.747616
1.015653,1.368653,21.51367,3.001343,2.656917,-1.398015,-3.062929,-2.516986,1.747616
1.019726,1.372726,21.51081,3.06878,2.656917,-1.537848,-3.062929,-2.516986,1.747616
1.023763,1.376763,21.51031,3.164339,2.726888,-1.607768,-2.991047,-2.377071,1.817544
1.026774,1.379774,21.51468,3.190598,2.796863,-1.537848,-3.033952,-2.377071,1.887474
1.030053,1.383053,21.52162,3.252058,2.866842,-1.537848,-3.186976,-2.516986,1.957407
1.033632,1.386632,21.52676,3.313858,2.936826,-1.537848,-3.077845,-2.377071,1.957407
1.036454,1.389454,21.51493,3.438406,3.076806,-1.537848,-3.02423,-2.307119,1.957407
1.040153,1.393153,21.5192,3.501122,3.146803,-1.537848,-3.06506,-2.23717,2.097282
1.043871,1.396871,21.51313,3.534631,3.216805,-1.46793,-2.964682,-2.097282,2.097282
1.046877,1.399877,21.52376,3.494131,3.286811,-1.18828,-2.919076,-1.957407,2.167225
1.050572,1.403572,21.50707,3.495921,3.356823,-0.9785607,-2.919076,-1.957407,2.167225
1.05367,1.40667,21.50879,3.565691,3.496861,-0.6989553,-2.919076,-1.957407,2.167225
1.057374,1.410374,21.51158,3.600116,3.566888,-0.4892626,-2.966337,-2.027343,2.167225
